Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
64,Male,Vegetarian,Lactose,Diabetes Management,Sedentary,163,82,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
31,Female,Vegetarian,None,Muscle Gain,Active,195,65,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
54,Female,Vegetarian,None,Weight Gain,Active,198,95,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
36,Male,Vegetarian,Lactose,Muscle Gain,Moderate,190,105,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
20,Male,Dairy-Free,None,Weight Gain,Active,186,112,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
38,Female,Non-Vegetarian,Lactose,Weight Loss,Moderate,159,58,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
36,Male,Gluten-Free,Nuts,PCOD/PCOS Cure,Moderate,177,75,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
29,Female,Non-Vegetarian,None,Weight Loss,Active,196,107,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
70,Female,Non-Vegetarian,Nuts,Weight Gain,Sedentary,198,74,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
18,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,169,99,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
47,Female,Gluten-Free,Gluten,Weight Loss,Moderate,156,57,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
51,Female,Vegetarian,Nuts,Weight Gain,Active,165,80,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
43,Female,Gluten-Free,Lactose,Muscle Gain,Sedentary,195,80,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
67,Male,Dairy-Free,Lactose,Diabetes Management,Sedentary,163,96,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
38,Female,Vegetarian,None,Diabetes Management,Active,176,91,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
61,Male,Gluten-Free,Lactose,Weight Gain,Active,174,116,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
40,Male,Vegan,Gluten,Weight Loss,Active,154,74,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
39,Male,Dairy-Free,None,Muscle Gain,Moderate,191,106,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
32,Male,Dairy-Free,None,Weight Loss,Sedentary,156,81,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
23,Female,Dairy-Free,Nuts,PCOD/PCOS Cure,Sedentary,171,110,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
33,Female,Vegan,Shellfish,Muscle Gain,Moderate,161,87,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
45,Male,Vegan,Shellfish,Muscle Gain,Active,190,78,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
24,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Active,159,89,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
26,Female,Gluten-Free,Nuts,Weight Loss,Moderate,161,92,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
25,Male,Vegetarian,Nuts,Muscle Gain,Active,157,68,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
28,Female,Dairy-Free,None,Weight Loss,Sedentary,158,108,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
26,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Moderate,187,74,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
43,Female,Gluten-Free,Lactose,Muscle Gain,Active,165,107,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
44,Female,Gluten-Free,Lactose,Muscle Gain,Active,180,87,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
34,Female,Dairy-Free,Gluten,Weight Loss,Sedentary,197,89,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
43,Male,Gluten-Free,Lactose,Muscle Gain,Sedentary,173,109,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
35,Male,Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,184,91,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
45,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,156,120,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
54,Female,Vegetarian,Nuts,Weight Gain,Moderate,195,116,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
47,Female,Vegetarian,Shellfish,Weight Loss,Sedentary,190,58,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
70,Female,Dairy-Free,None,Diabetes Management,Sedentary,150,67,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
60,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Moderate,169,73,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
21,Male,Vegan,None,PCOD/PCOS Cure,Active,177,95,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
57,Female,Vegetarian,Nuts,Muscle Gain,Sedentary,164,99,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
64,Female,Gluten-Free,Lactose,PCOD/PCOS Cure,Moderate,185,66,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
67,Male,Vegan,Nuts,Diabetes Management,Active,198,89,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
68,Male,Non-Vegetarian,Nuts,Muscle Gain,Sedentary,165,76,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
43,Female,Dairy-Free,Gluten,Weight Gain,Active,179,81,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
32,Female,Vegetarian,Nuts,Diabetes Management,Active,155,61,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
20,Female,Non-Vegetarian,Shellfish,Diabetes Management,Active,199,78,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
26,Male,Vegetarian,Nuts,Weight Loss,Active,177,97,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
54,Female,Gluten-Free,None,Weight Loss,Moderate,192,59,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
33,Female,Vegan,Shellfish,PCOD/PCOS Cure,Moderate,187,75,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
42,Male,Dairy-Free,Shellfish,Diabetes Management,Moderate,199,86,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
55,Female,Gluten-Free,None,Weight Gain,Sedentary,152,112,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
53,Female,Vegan,Shellfish,Weight Gain,Sedentary,169,102,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
34,Male,Vegetarian,Gluten,Weight Loss,Moderate,193,95,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
25,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Moderate,196,104,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
66,Male,Non-Vegetarian,Shellfish,Weight Loss,Active,178,111,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
60,Male,Vegan,Shellfish,Diabetes Management,Active,163,81,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
67,Male,Gluten-Free,Shellfish,Weight Loss,Sedentary,173,70,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
57,Male,Non-Vegetarian,Shellfish,Weight Gain,Sedentary,177,101,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
48,Female,Non-Vegetarian,Shellfish,Weight Gain,Sedentary,174,98,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
57,Male,Dairy-Free,Nuts,Weight Loss,Active,165,78,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
49,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Moderate,191,115,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
33,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Moderate,152,90,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
64,Male,Vegan,Lactose,Weight Loss,Moderate,170,119,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
63,Female,Vegetarian,Gluten,Weight Gain,Moderate,196,54,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
31,Male,Vegetarian,Shellfish,Weight Loss,Sedentary,160,57,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
35,Male,Dairy-Free,None,Weight Loss,Moderate,200,118,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
41,Male,Dairy-Free,None,Weight Gain,Moderate,188,56,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
54,Female,Dairy-Free,Nuts,Muscle Gain,Sedentary,167,98,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
55,Male,Vegan,Shellfish,Weight Gain,Sedentary,152,57,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
66,Female,Vegetarian,Nuts,Diabetes Management,Moderate,199,118,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
27,Female,Vegan,Lactose,PCOD/PCOS Cure,Sedentary,170,51,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
61,Male,Gluten-Free,Lactose,Muscle Gain,Moderate,185,95,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
54,Male,Vegetarian,Shellfish,PCOD/PCOS Cure,Sedentary,196,100,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
64,Male,Vegan,Nuts,Muscle Gain,Active,156,67,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
29,Male,Dairy-Free,Gluten,PCOD/PCOS Cure,Active,200,91,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
41,Female,Vegetarian,Shellfish,Muscle Gain,Moderate,155,91,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
51,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,161,57,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
59,Female,Gluten-Free,None,Muscle Gain,Sedentary,176,80,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
42,Female,Non-Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,164,116,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
29,Female,Vegan,Lactose,Weight Gain,Active,182,86,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
21,Male,Non-Vegetarian,None,Diabetes Management,Moderate,162,98,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
28,Male,Non-Vegetarian,Lactose,Diabetes Management,Sedentary,159,79,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
19,Male,Vegetarian,Shellfish,Weight Gain,Moderate,188,56,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
38,Male,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Active,166,119,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
31,Male,Gluten-Free,Gluten,Weight Gain,Moderate,158,58,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
69,Male,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,200,90,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
39,Female,Vegetarian,Nuts,Weight Loss,Moderate,157,102,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
45,Female,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,178,73,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
47,Male,Dairy-Free,None,Weight Loss,Sedentary,165,71,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
35,Female,Gluten-Free,Nuts,Diabetes Management,Active,155,88,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
19,Female,Dairy-Free,Nuts,Weight Gain,Active,171,71,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
21,Male,Non-Vegetarian,Shellfish,Muscle Gain,Sedentary,188,113,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
42,Male,Non-Vegetarian,Shellfish,Diabetes Management,Moderate,190,86,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
22,Male,Vegetarian,Nuts,Muscle Gain,Active,193,89,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
29,Male,Vegan,Nuts,Muscle Gain,Sedentary,190,95,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
33,Male,Vegan,None,Weight Gain,Sedentary,184,111,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
41,Male,Non-Vegetarian,Gluten,Weight Gain,Active,184,55,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
40,Male,Vegan,Nuts,Diabetes Management,Sedentary,152,52,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
64,Female,Non-Vegetarian,Gluten,Weight Gain,Active,182,108,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
63,Female,Gluten-Free,Shellfish,PCOD/PCOS Cure,Active,153,91,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
41,Male,Non-Vegetarian,Gluten,Weight Gain,Moderate,192,61,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
64,Female,Dairy-Free,Nuts,Weight Gain,Sedentary,189,64,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
69,Female,Gluten-Free,Shellfish,Weight Gain,Active,168,118,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
39,Female,Non-Vegetarian,Nuts,Weight Loss,Moderate,190,91,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
42,Male,Gluten-Free,Shellfish,Diabetes Management,Sedentary,165,87,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
54,Male,Dairy-Free,Gluten,Muscle Gain,Sedentary,198,100,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
20,Female,Vegan,Gluten,Muscle Gain,Active,163,110,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
24,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Active,171,77,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
31,Female,Non-Vegetarian,Lactose,Muscle Gain,Sedentary,168,61,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
57,Male,Gluten-Free,Gluten,Weight Gain,Moderate,192,111,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
29,Male,Non-Vegetarian,Lactose,Weight Gain,Active,159,110,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
52,Male,Vegetarian,Nuts,Weight Gain,Active,161,96,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
54,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Active,156,106,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
20,Male,Vegan,Nuts,Diabetes Management,Sedentary,151,52,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
34,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Moderate,176,113,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
31,Male,Vegetarian,Nuts,Weight Loss,Sedentary,171,101,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
40,Female,Non-Vegetarian,None,Muscle Gain,Active,169,112,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
33,Male,Gluten-Free,None,Diabetes Management,Sedentary,165,77,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
30,Female,Dairy-Free,Gluten,Muscle Gain,Moderate,152,75,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
41,Female,Vegan,None,Diabetes Management,Active,160,65,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
66,Male,Vegan,Lactose,Weight Loss,Moderate,162,63,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
43,Female,Non-Vegetarian,Shellfish,Diabetes Management,Active,158,108,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
47,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Active,153,58,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
68,Female,Vegetarian,Gluten,Diabetes Management,Active,193,56,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
44,Female,Vegetarian,Lactose,Diabetes Management,Moderate,185,57,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
56,Female,Non-Vegetarian,Nuts,Weight Gain,Active,157,101,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
51,Female,Vegetarian,Gluten,Weight Loss,Active,200,91,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
65,Female,Vegan,Gluten,Muscle Gain,Sedentary,166,73,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
59,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,176,51,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
32,Male,Non-Vegetarian,Lactose,Weight Loss,Sedentary,176,77,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
65,Female,Non-Vegetarian,Shellfish,Weight Gain,Moderate,197,108,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
30,Female,Non-Vegetarian,Gluten,Diabetes Management,Moderate,178,103,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
59,Female,Gluten-Free,Lactose,PCOD/PCOS Cure,Sedentary,189,112,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
26,Female,Non-Vegetarian,Lactose,Weight Loss,Sedentary,150,79,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
29,Male,Vegetarian,Shellfish,Muscle Gain,Moderate,197,54,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
55,Male,Vegan,None,Weight Gain,Sedentary,180,106,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
66,Female,Vegetarian,Gluten,Weight Gain,Sedentary,179,114,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
58,Female,Vegan,Gluten,Weight Loss,Sedentary,176,51,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
67,Female,Non-Vegetarian,None,Weight Gain,Moderate,150,98,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
34,Male,Vegetarian,Nuts,Weight Gain,Active,158,84,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
26,Male,Vegetarian,Lactose,Weight Gain,Sedentary,180,107,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
53,Male,Gluten-Free,Nuts,Weight Loss,Moderate,179,103,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
44,Male,Dairy-Free,Lactose,Weight Loss,Sedentary,192,89,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
48,Male,Vegan,Gluten,Muscle Gain,Sedentary,198,100,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
54,Female,Vegan,None,Muscle Gain,Moderate,168,101,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
57,Male,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,175,75,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
70,Male,Vegetarian,Nuts,Weight Gain,Moderate,182,76,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
55,Female,Vegan,Gluten,Diabetes Management,Moderate,152,79,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
31,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Active,200,70,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
33,Male,Non-Vegetarian,Shellfish,Weight Gain,Moderate,190,67,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
40,Female,Vegan,Lactose,Muscle Gain,Sedentary,174,96,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
67,Male,Gluten-Free,Gluten,Diabetes Management,Active,200,108,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
36,Male,Vegetarian,Nuts,Weight Loss,Active,189,63,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
36,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,184,99,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
28,Female,Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,170,59,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
42,Male,Vegetarian,Shellfish,PCOD/PCOS Cure,Sedentary,160,68,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
58,Male,Non-Vegetarian,Nuts,Diabetes Management,Moderate,162,119,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
30,Female,Gluten-Free,Gluten,Weight Loss,Moderate,196,117,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
67,Male,Gluten-Free,None,PCOD/PCOS Cure,Sedentary,193,78,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
46,Female,Vegetarian,Shellfish,Weight Loss,Sedentary,186,69,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
49,Female,Non-Vegetarian,Nuts,Weight Gain,Sedentary,176,103,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
43,Female,Gluten-Free,Gluten,Muscle Gain,Sedentary,181,105,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
65,Female,Vegan,Lactose,Weight Gain,Active,158,76,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
19,Female,Dairy-Free,None,Weight Gain,Moderate,188,60,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
57,Male,Non-Vegetarian,Gluten,Diabetes Management,Moderate,192,89,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
37,Female,Vegetarian,Gluten,PCOD/PCOS Cure,Sedentary,164,80,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
60,Male,Vegan,Shellfish,Muscle Gain,Sedentary,159,108,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
50,Female,Vegan,Gluten,Muscle Gain,Moderate,163,97,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
24,Male,Dairy-Free,Shellfish,Weight Loss,Active,172,83,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
47,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Moderate,154,84,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
40,Male,Vegan,Shellfish,Diabetes Management,Moderate,161,109,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
57,Female,Gluten-Free,Lactose,Weight Loss,Sedentary,184,62,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
59,Female,Non-Vegetarian,Lactose,Weight Loss,Sedentary,180,105,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
60,Male,Vegan,Gluten,Weight Gain,Moderate,175,108,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
65,Female,Dairy-Free,Nuts,Weight Gain,Sedentary,172,69,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
39,Female,Dairy-Free,Nuts,Diabetes Management,Active,179,100,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
52,Female,Non-Vegetarian,Nuts,Diabetes Management,Sedentary,166,72,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
47,Female,Dairy-Free,Shellfish,Weight Gain,Moderate,195,102,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
31,Female,Dairy-Free,Shellfish,Diabetes Management,Moderate,187,116,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
22,Female,Dairy-Free,Shellfish,Muscle Gain,Active,155,107,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
60,Male,Gluten-Free,Gluten,PCOD/PCOS Cure,Sedentary,181,112,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
51,Male,Dairy-Free,Nuts,Weight Gain,Moderate,172,96,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
41,Female,Vegetarian,Gluten,Diabetes Management,Active,169,60,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
50,Female,Gluten-Free,Nuts,PCOD/PCOS Cure,Moderate,197,78,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
68,Female,Gluten-Free,Shellfish,Weight Gain,Moderate,171,107,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
58,Male,Non-Vegetarian,Lactose,Weight Gain,Active,177,59,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
52,Female,Gluten-Free,None,Weight Loss,Active,185,99,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
38,Male,Vegetarian,None,Diabetes Management,Moderate,155,108,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
58,Female,Vegan,Gluten,PCOD/PCOS Cure,Active,156,81,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
36,Male,Vegan,Nuts,Weight Loss,Sedentary,183,66,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
65,Female,Gluten-Free,None,Diabetes Management,Active,150,107,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
27,Male,Vegan,Shellfish,Muscle Gain,Moderate,158,111,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
54,Male,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,195,80,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
49,Male,Gluten-Free,None,Diabetes Management,Active,196,66,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
55,Male,Vegan,Shellfish,Diabetes Management,Moderate,167,61,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
36,Male,Vegetarian,Shellfish,PCOD/PCOS Cure,Moderate,195,75,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
32,Male,Non-Vegetarian,Nuts,Weight Gain,Sedentary,193,114,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
45,Male,Dairy-Free,Nuts,Weight Gain,Moderate,157,67,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
